nm_id,keyword,keyword_class,target_grade,frequency_monthly,excluded
754549033,перчатки для уборки,primary,top_1_3,,false
866360474,пенящиеся салфетки для уборки,primary,top_1_3,,false
929900180,спонж для умывания,primary,top_1_3,,false
869367544,салфетки из микрофибры 30х30,primary,top_1_3,,false
1001645746,губка для уборки,primary,top_1_3,,false
624468743,перчатки для уборки,primary,top_1_3,,false
754427875,перчатки резиновые хозяйственные,primary,top_1_3,,false
629004626,тряпка для стекол без разводов,primary,top_1_3,,false
754606396,мочалка варежка для тела,primary,top_1_3,,false
1085061548,салфетки для кухни,primary,top_1_3,,false
